Output of counters: count from 0 to 3, and from 0 to 15.

Time CLK  Q     C
   0   0  1000  00
   1   1  0100  01
   2   0  0100  01
   3   1  0010  10
   4   0  0010  10
   5   1  0001  11
   6   0  0001  11
   7   1  1000  00
   8   0  1000  00
   9   1  0100  01
  10   0  0100  01
  11   1  0010  10
  12   0  0010  10
  13   1  0001  11
  14   0  0001  11
  15   1  1000  00
  16   0  1000  00


Time CLK  Q                 C      C
   0   0  1000000000000000  0000   0
   1   1  0100000000000000  0001   1
   2   0  0100000000000000  0001   1
   3   1  0010000000000000  0010   2
   4   0  0010000000000000  0010   2
   5   1  0001000000000000  0011   3
   6   0  0001000000000000  0011   3
   7   1  0000100000000000  0100   4
   8   0  0000100000000000  0100   4
   9   1  0000010000000000  0101   5
  10   0  0000010000000000  0101   5
  11   1  0000001000000000  0110   6
  12   0  0000001000000000  0110   6
  13   1  0000000100000000  0111   7
  14   0  0000000100000000  0111   7
  15   1  0000000010000000  1000   8
  16   0  0000000010000000  1000   8
  17   1  0000000001000000  1001   9
  18   0  0000000001000000  1001   9
  19   1  0000000000100000  1010  10
  20   0  0000000000100000  1010  10
  21   1  0000000000010000  1011  11
  22   0  0000000000010000  1011  11
  23   1  0000000000001000  1100  12
  24   0  0000000000001000  1100  12
  25   1  0000000000000100  1101  13
  26   0  0000000000000100  1101  13
  27   1  0000000000000010  1110  14
  28   0  0000000000000010  1110  14
  29   1  0000000000000001  1111  15
  30   0  0000000000000001  1111  15
  31   1  1000000000000000  0000   0
  32   0  1000000000000000  0000   0
  33   1  0100000000000000  0001   1
  34   0  0100000000000000  0001   1
  35   1  0010000000000000  0010   2
  36   0  0010000000000000  0010   2

