T_degC,Salnty,Depthm,STheta,R_TEMP
10.5,33.44,0,25.649,10.5
10.46,33.44,8,25.656,10.46
10.46,33.437,10,25.654,10.46
10.45,33.42,19,25.643,10.45
10.45,33.421,20,25.643,10.45
10.45,33.431,30,25.651,10.45
10.45,33.44,39,25.658,10.45
10.24,33.424,50,25.682,10.24
10.06,33.42,58,25.71,10.06
9.86,33.494,75,25.801,9.86
9.83,33.51,78,25.819,9.83
9.67,33.58,100,25.9,9.67
9.5,33.64,117,25.975,9.5
9.32,33.689,125,26.043,9.32
8.76,33.847,150,26.256,8.76
8.71,33.86,152,26.274,8.71
8.53,33.876,200,26.315,8.53
8.26,33.926,221,26.16295,8.45
7.96,33.98,250,26.396,8.26
7.77,33.99,285,26.483,7.96
6.8,34.04,300,26.519,7.77
6.55,34.056,373,26.695,6.8
5.78,34.113,400,26.741,6.55
5.3,34.16,500,26.885,5.78
5.29,34.161,598,26.98,5.3
5.01,34.21,600,26.982,5.29
4.72,34.261,700,27.054,5.01
4.44,34.31,800,27.128,4.72
10.1,32.95,896,27.198,4.44
9.89,32.94,0,25.335,10.1
9.75,32.939,10,25.363,9.89
9.69,32.95,20,25.385,9.75
9.52,33.013,24,25.404,9.69
9.06,33.24,30,25.48,9.52
9.04,33.272,47,25.732,9.06
8.92,33.46,50,25.76,9.04
8.83,33.488,71,25.926,8.92
8.37,33.6,75,25.962,8.83
8.26,33.631,94,26.121,8.37
7.85,33.745,100,26.162,8.26
7.64,33.8,125,26.312,7.85
7.5,33.833,140,26.386,7.64
6.98,33.93,150,26.432,7.5
6.85,33.939,189,26.581,6.98
6.32,33.943,200,26.606,6.85
6.05,33.95,250,26.68,6.32
5.95,33.957,282,26.72,6.05
5.6,34,300,26.738,5.95
5.5,34.016,379,26.816,5.6
5.02,34.101,400,26.841,5.5
4.74,34.16,500,26.965,5.02
4.62,34.188,565,27.044,4.74
4.33,34.259,600,27.079,4.62
4.08,34.319,700,27.168,4.33
3.99,34.34,800,27.243,4.08
3.85,34.354,840,27.269,3.99
3.62,34.378,900,27.294,3.85
3.38,34.403,1000,27.337,3.62
3.15,34.429,1100,27.381,3.38
3.14,34.43,1200,27.423,3.15
10.2,32.63,1203,27.425,3.14
10.05,32.66,0,25.069,10.2
9.95,32.66,10,25.117,10.05
9.94,32.66,20,25.134,9.95
9.92,32.673,22,25.136,9.94
9.87,32.68,30,25.15,9.92
9.62,32.75,38,25.163,9.87
9.66,32.736,49,25.259,9.62
9.9,32.66,50,25.242,9.66
9.65,32.74,55,25.143,9.9
9.62,32.765,73,25.247,9.65
9.23,33.12,75,25.271,9.62
9.21,33.132,99,25.612,9.23
8.79,33.398,100,25.624,9.21
8.37,33.605,125,25.899,8.79
7.71,33.82,150,26.126,8.37
7.58,33.844,191,26.392,7.71
6.93,33.926,200,26.43,7.58
6.47,33.93,250,26.586,6.93
6.37,33.941,290,26.651,6.47
5.54,34.041,300,26.672,6.37
5.02,34.11,400,26.856,5.54
4.97,34.113,488,26.972,5.02
4.59,34.135,500,26.98,4.97
4.31,34.151,600,27.041,4.59
4.14,34.16,700,27.084,4.31
4.11,34.169,789,27.11,4.14
3.89,34.252,800,27.12,4.11
3.66,34.336,900,27.209,3.89
3.43,34.421,1000,27.3,3.66
3.35,34.45,1100,27.39,3.43
10.4,32.68,1134,27.421,3.35
10.22,32.7,0,25.074,10.4
10.2,32.694,8,25.12,10.22
10.14,32.66,10,25.119,10.2
10.14,32.657,19,25.103,10.14
10.07,32.641,20,25.1,10.14
9.72,32.699,30,25.1,10.07
9.42,32.79,40,26.16295,9.97
9.32,32.967,50,25.203,9.72
9.27,33.1,62,25.323,9.42
9.02,33.286,75,25.477,9.32
8.6,33.533,84,25.59,9.27
8.56,33.55,100,25.775,9.02
8.32,33.746,125,26.034,8.6
8.18,33.84,127,26.053,8.56
7.71,33.863,150,26.244,8.32
7.16,33.89,164,26.339,8.18
7.08,33.893,200,26.426,7.71
6.61,33.91,242,26.526,7.16
6.38,33.75,250,26.539,7.08
5.79,33.955,300,26.616,6.61
5.14,34,329,26.521,6.38
5.1,34.01,400,26.757,5.79
4.65,34.128,492,26.871,5.14
4.31,34.245,500,26.884,5.1
4.21,34.29,600,27.028,4.65
4.07,34.309,700,27.159,4.31
3.83,34.34,739,27.205,4.21
3.59,34.372,800,27.236,4.07
3.39,34.4,900,27.285,3.83
10.5,32.75,1000,27.335,3.59
10.52,32.75,1085,27.377,3.39
10.51,32.748,0,25.111,10.5
10.48,32.74,8,25.108,10.52
10.47,32.74,10,25.108,10.51
10.34,32.737,19,25.107,10.48
9.85,32.738,20,25.109,10.47
9.7,32.74,30,25.129,10.34
9.29,32.74,37,26.16295,10.2
9.2,32.791,50,25.212,9.85
9.35,33.42,55,25.238,9.7
8.28,33.565,71,25.305,9.29
8.24,33.62,75,25.359,9.2
7.95,33.724,100,25.827,9.35
7.5,33.78,125,26.108,8.28
7.42,33.807,128,26.157,8.24
6.98,33.938,150,26.281,7.95
6.94,33.95,191,26.391,7.5
6.54,33.988,200,26.424,7.42
5.86,34,250,26.588,6.98
5.77,34.012,255,26.603,6.94
5.3,34.075,300,26.687,6.54
4.83,34.141,380,26.784,5.86
4.36,34.211,400,26.805,5.77
4.1,34.25,500,26.912,5.3
11.6,32.88,600,27.019,4.83
11.69,32.86,700,27.127,4.36
11.69,32.86,755,27.185,4.1
11.66,32.86,0,25.017,11.6
11.64,32.86,9,24.986,11.69
11.64,32.863,10,24.986,11.69
11.64,32.88,20,24.991,11.66
11.61,32.882,23,24.995,11.64
11.36,32.9,30,24.998,11.64
11.18,32.927,47,25.011,11.64
10.2,33.1,50,25.018,11.61
9.9,33.165,71,25.078,11.36
8.83,33.425,75,25.132,11.18
8.29,33.58,94,25.437,10.2
8.11,33.638,100,25.538,9.9
7.65,33.8,125,25.914,8.83
7.5,33.833,141,26.118,8.29
6.98,33.916,150,26.19,8.11
6.72,33.93,187,26.385,7.65
6.54,33.944,200,26.433,7.5
5.96,33.98,250,26.571,6.98
5.78,33.996,279,26.617,6.72
5.09,34.073,300,26.652,6.54
4.68,34.13,377,26.756,5.96
4.54,34.154,400,26.791,5.78
4.17,34.225,500,26.935,5.09
3.88,34.286,568,27.026,4.68
3.78,34.31,600,27.061,4.54
3.67,34.321,700,27.158,4.17
3.48,34.342,800,27.236,3.88
3.28,34.363,846,27.266,3.78
3.08,34.385,900,27.286,3.67
2.88,34.408,1000,27.322,3.48
2.78,34.42,1100,27.358,3.28
12.5,33.17,1200,27.395,3.08
12.66,33.24,1300,27.432,2.88
12.66,33.212,1352,27.45,2.78
12.64,33.057,0,25.073,12.5
12.64,33.04,8,25.097,12.66
